# Концентрации тяжелых частиц Nh(T,p) в единицах 1e18 см-3 Xe
#Т, К   Р=0.5 МПа   Р=1.5 МПа    Р=2.5 МПа
#          0.5          1.5         2.5 
1000	3.62E+01	1.086E+02	1.81E+02
1500	2.41E+01	7.242E+01	1.21E+02
2000	1.81E+01	5.431E+01	9.05E+01
2500	1.45E+01	4.345E+01	7.24E+01
3000	1.21E+01	3.621E+01	6.04E+01
3500	1.03E+01	3.104E+01	5.17E+01
4000	9.05E+00	2.716E+01	4.53E+01
4500	8.05E+00	2.414E+01	4.02E+01
5000	7.24E+00	2.173E+01	3.62E+01
6000	6.03E+00	1.810E+01	3.02E+01
7000	5.16E+00	1.550E+01	2.58E+01
8000	4.49E+00	1.350E+01	2.25E+01
9000	3.92E+00	1.188E+01	1.99E+01
10000	3.39E+00	1.044E+01	1.76E+01
11000	2.87E+00	9.089E+00	1.54E+01
12000	2.37E+00	7.784E+00	1.34E+01
13000	1.94E+00	6.564E+00	1.14E+01
14000	1.62E+00	5.516E+00	9.72E+00
15000	1.40E+00	4.695E+00	8.30E+00
